Data,preco_soja_usd_log_ret,petroleo_wti_usd_log_ret,dxy_index_log_ret,taxa_cambio_usd_brl_log_ret,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy_diff,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT_diff,Estoque_Argentina_MT_diff
2000-02-01,-0.013376468957702926,0.09616496500941045,0.007486412600958635,-0.009009069942365968,196.6,37.0,0.199,-0.09147726985665372,842.4381625441697,0.4425457685664941,0.14829446064139928,0.06279720279720291
2000-03-01,0.08459782665234647,-0.12330267730108628,-0.004542021434501009,-0.016251248605591965,183.6,60.4,0.084,0.47425690523394337,877.5397526501769,0.3726701208981002,0.3707361516034985,0.1883916083916085
2000-04-01,-0.0354514736990953,-0.0440800844398128,0.04361021308013843,0.03696287617498449,160.2,85.0,0.318,0.8162644502186254,912.641342756184,0.314440414507772,0.3707361516034985,0.3139860139860139
2000-05-01,-0.017241806434506103,0.11959439596533222,-0.012792572116560891,0.010471299867295437,106.3,109.5,0.832,-0.7544406390369858,994.5450530035336,0.2678566493955095,0.2224416909620992,0.2511888111888112
2000-06-01,-0.08044536521873921,0.11359949120237903,-0.017627323476014433,-0.009363880042048248,80.4,116.3,0.488,-0.37720945732814926,1076.4487632508835,0.2329188255613126,-0.17795335276967905,0.06279720279720302
2000-07-01,-0.06824520790072083,-0.16960278438617998,0.02523122617554173,-0.013090285793282216,67.4,102.7,0.248,1.0111285725162276,1111.5503533568906,0.2562107081174439,-0.19278279883381955,-0.1883916083916084
2000-08-01,0.1037336324626111,0.18850002456754697,0.027278101288288,0.022180005449788612,77.8,97.9,0.805,-0.031517537756741376,1228.5556537102475,0.3260863557858377,-0.17795335276967894,-0.18839160839160862
2000-09-01,-0.008627305477257376,-0.07132478082193017,0.00575604865755339,0.010908207425464245,114.1,83.8,0.871,-0.834112226355046,1310.4593639575976,1.164594127806563,-0.16312390670553956,-0.15071328671328676
2000-10-01,-0.06474241552098729,0.05856252920807897,0.029580234104295552,0.030187947480332673,157.8,70.8,0.422,0.25251763672976324,1345.5609540636042,1.0714265975820385,-0.1482944606413994,-0.13815384615384607
2000-11-01,0.09585380580303506,0.03367726556722639,-0.012161088251111316,0.04099040139165349,170.6,60.2,0.512,-0.5393077529249837,1380.6625441696117,0.954967184801382,-0.13346501457725957,-0.11303496503496507
2000-12-01,-0.012929071198857372,-0.23265045595362327,-0.05054456582145021,-0.01501491498839286,194.0,42.6,0.173,-0.2711835627522561,1287.058303886926,0.8152158894645941,-0.07414723032069959,-0.07535664335664338
2001-01-01,-0.08346865629286644,0.06710053488321487,0.008724155660338425,0.01071165559492781,207.1,32.2,-0.065,0.33262549387437446,688.0521201413429,0.4401295336787566,0.08360932944606408,0.07104895104895098
2001-02-01,-0.01314367224055048,-0.045324439125039,0.013391652968432442,0.03749225617606319,196.6,37.0,0.051,-1.259620770196932,660.5300353356891,0.37166493955095,0.19953352769679294,0.07882517482517493
2001-03-01,-0.056704531517356785,-0.040989344533197004,0.0467431850883845,0.050828934035579615,183.6,60.4,-0.729,-0.505187622312576,688.0521201413429,0.3129810017271157,0.49883381924198245,0.23647552447552456
2001-04-01,0.013329667083379933,0.07931095391991648,-0.013035087233647458,0.02204958416209859,160.2,85.0,-1.201,0.5166159204594862,715.5742049469967,0.2640777202072539,0.4988338192419821,0.39412587412587397
2001-05-01,0.03784693438146405,-0.003167343840946316,0.027415304584698433,0.07860876496040108,106.3,109.5,-1.065,-0.03977692007214273,779.7924028268552,0.2249550949913644,0.29930029154518967,0.31530069930069926
2001-06-01,0.06751358127636226,-0.07766625978312723,0.003018870217251951,-0.030056616176541564,80.4,116.3,-1.151,0.8581220801487461,844.0106007067138,0.1956131260794474,-0.23944023323615138,0.07882517482517515
2001-07-01,0.06080747617344929,0.0038022859497387,-0.01901921156369298,0.06796803721109501,67.4,102.7,-0.68,-0.379607940213603,871.5326855123676,0.215174438687392,-0.25939358600583096,-0.23647552447552456
2001-08-01,-0.06704450262899704,0.03174869831458027,-0.03261347153076071,0.03613655051914445,77.8,97.9,-0.839,-0.523441236002995,963.27296819788,0.2738583765112263,-0.23944023323615138,-0.23647552447552456
2001-09-01,-0.060722384676402216,-0.1491997207822473,0.0005288673547686316,0.040509933353734526,114.1,83.8,-1.152,1.6423662108201142,1027.4911660777389,0.9780656303972366,-0.21948688046647247,-0.18918041958041965
2001-10-01,-0.05173077160925625,-0.10095991234644393,0.012087385495499793,0.00969072063790255,157.8,70.8,-0.22,-3.0900639367230838,1055.0132508833922,0.8998203799654578,-0.199533527696793,-0.17341538461538464
2001-11-01,0.03665931691612477,-0.08572454114096727,0.010996257821515946,-0.07748046384657865,170.6,60.2,-0.245,-0.20941030323061227,1082.535335689046,0.8020138169257341,-0.17958017492711364,-0.14188531468531462
2001-12-01,-0.05431722127157782,0.020367302824433733,0.0053246432913403125,-0.07660839791123837,194.0,42.6,-0.144,0.9901845340652358,1009.1431095406364,0.6846459412780656,-0.09976676384839633,-0.09459020979020982
2002-01-01,0.021733601409267292,-0.01831180364233762,0.029454848895712274,0.0431904553506509,207.1,32.2,-0.671,0.24788572284474242,1418.9708480565373,0.3771761658031088,0.10136443148688046,0.0719384615384615
2002-02-01,0.012702249308481397,0.10976558347867417,-0.00902261759963753,-0.02009276469899818,196.6,37.0,-0.687,1.1090744455791395,1362.2120141342757,0.3185043177892919,0.2640233236151601,0.09606993006993003
2002-03-01,0.08887424204078034,0.19079521335913793,-0.004542021434500897,-0.017057982904576625,183.6,60.4,-0.437,0.2712127749815636,1418.9708480565373,0.2682141623488773,0.6600583090379009,0.2882097902097903
2002-04-01,-0.02983705617367649,0.03657123966804582,-0.029342167472165587,0.01536521906405614,160.2,85.0,-0.766,1.6972572709167935,1475.729681978799,0.2263056994818653,0.6600583090379006,0.48034965034965027
2002-05-01,0.09585086648957054,-0.07532076016321446,-0.029781936779138225,0.06437967751877938,106.3,109.5,-0.386,0.7542468793145929,1608.1669611307425,0.1927789291882556,0.39603498542274096,0.384279720279721
2002-06-01,0.05310982531394833,0.05943861653805879,-0.052324710273777796,0.11238503130963892,80.4,116.3,-0.51,1.133098971661184,1740.6042402826856,0.1676338514680483,-0.3168279883381926,0.09606993006992925
2002-07-01,0.056174187284804535,0.0059391414369611975,0.01217699572445669,0.20541862213783857,67.4,102.7,-0.474,0.9130153363390008,1797.3630742049472,0.1843972366148532,-0.3432303206997085,-0.2882097902097902
2002-08-01,-0.015091276200458541,0.07002860436048355,-0.004011386506851571,-0.14015942020293606,77.8,97.9,-0.572,2.6316665190380633,1986.5591872791524,0.2346873920552677,-0.31682798833819215,-0.2882097902097902
2002-09-01,-0.0239884777250459,0.049480057263369716,-0.0010287585662987389,0.2233097885351062,114.1,83.8,0.34,0.6329885134240101,2118.996466431096,0.8381692573402417,-0.2904256559766767,-0.23056783216783217
2002-10-01,0.03510711572802594,-0.11213399693258608,-0.002154466666352158,-0.029691789807402925,157.8,70.8,0.233,0.1772042905436706,2175.7553003533567,0.7711157167530225,-0.26402332361516034,-0.2113538461538459
2002-11-01,0.023602494242364533,-0.012197526942546685,-0.0021591184168130865,0.000821580218745299,170.6,60.2,-0.26,1.884175245815257,2232.5141342756183,0.6872987910189983,-0.23762099125364422,-0.17292587412587423
2002-12-01,-0.01611182251320698,0.14866362453466334,-0.04379841478082535,-0.03142202066746233,194.0,42.6,0.147,0.14173194901964337,2081.157243816255,0.5867184801381692,-0.13201166180757995,-0.11528391608391608
2003-01-01,-0.00970453138917791,0.07142580693378232,-0.019231361927887533,-0.010221554071538139,207.1,32.2,-0.386,1.5683508833918722,1121.8860424028271,0.2377461139896373,-0.09965160349854219,-0.02349090909090934
2003-02-01,0.02278801501004056,0.08820433865810165,-0.0020038079042257106,0.018660422717402612,196.6,37.0,-0.186,-0.0989777235460707,1077.0106007067138,0.2007633851468049,0.2558454810495625,0.09855944055944066
2003-03-01,-0.004342169219289153,-0.1647715450923026,-0.0065402456806098784,-0.059434853680846104,183.6,60.4,-0.914,0.9198823134200751,1121.8860424028271,0.1690639032815198,0.6396137026239066,0.29567832167832175
2003-04-01,0.08184866783128068,-0.1849022033874462,-0.01905790164471244,-0.14463407734721537,160.2,85.0,-1.171,2.0205041448525947,1166.7614840989402,0.1426476683937824,0.6396137026239068,0.4927972027972026
2003-05-01,0.0016025644455411972,0.13604760415242917,-0.04116931277660706,0.021243045401025187,106.3,109.5,-0.741,1.9201584338738797,1271.4708480565373,0.1215146804835924,0.3837682215743454,0.3942377622377622
2003-06-01,-0.005217752154793888,0.021088647638746395,0.015532227148671128,-0.04699255433779701,80.4,116.3,-0.223,1.1364543524903041,1376.1802120141344,0.1056649395509499,-0.30701457725947634,0.09855944055944055
2003-07-01,-0.15415067982725836,0.011526556071738818,0.022545574509469615,0.04497269167497157,67.4,102.7,-0.088,0.9299076455561845,1421.0556537102475,0.1162314335060449,-0.3325991253644318,-0.2956783216783214
2003-08-01,0.11097850796204951,0.03317000277941405,0.012411052174404656,0.00369997058491903,77.8,97.9,-0.108,0.8938283304728714,1570.640459363958,0.1479309153713299,-0.3070145772594748,-0.29567832167832186
2003-09-01,0.12947907541957468,-0.07803859329566427,-0.05500207877260265,-0.029298638000910426,114.1,83.8,-0.196,0.2194944926030047,1675.349823321555,0.5283246977547496,-0.2814300291545193,-0.23654265734265745
2003-10-01,0.15935779218442106,-0.003086951516704208,-0.001293242986580041,-0.009029406719394265,157.8,70.8,-0.729,3.2790571170330054,1720.225265017668,0.4860587219343696,-0.2558454810495625,-0.21683076923076905
2003-11-01,-0.04902626380457428,0.043689743931741444,-0.02755175914358735,0.027526251929530673,170.6,60.2,-0.798,0.6565534797291548,1765.100706713781,0.4332262521588946,-0.23026093294460648,-0.17740699300699292
2003-12-01,0.04239431150082296,0.06708378299033661,-0.03715213028031839,-0.01884262667969502,194.0,42.6,-0.743,-1.5901044303987248,1645.4328621908132,0.3698272884283247,-0.12792274052478125,-0.11827132867132872
2004-01-01,0.03792807733801004,0.01616628161808529,0.003216175526705163,0.014761682400116048,207.1,32.2,-0.097,-0.7706400619789946,1709.4964664310958,0.5409326424870466,-0.024056851311953453,0.01810069930069913
2004-02-01,0.1398415211382814,0.08993196922628048,0.0012606729077824113,-0.009759515868160871,196.6,37.0,0.069,4.845205114298963,1641.1166077738517,0.4567875647668394,0.27692419825072856,0.10814685314685313
2004-03-01,0.05420681783642695,-0.011123585218662316,0.003430142855556042,-0.0034470906246212916,183.6,60.4,-0.657,0.5297837992314385,1709.4964664310958,0.3846632124352331,0.6923104956268223,0.3244405594405595
2004-04-01,0.0384473179097816,0.04430585172210361,0.03223368512959254,0.012013187205285533,160.2,85.0,-0.33,-1.0503225653382486,1777.8763250883396,0.3245595854922279,0.692310495626822,0.5407342657342655
2004-05-01,-0.2392296890658341,0.06473914306622072,-0.017054417696020823,0.0843637262991652,106.3,109.5,-0.385,20.983604972220817,1937.4293286219083,0.2764766839378238,0.4153862973760938,0.4325874125874125
2004-06-01,0.09262621487395875,-0.0736065933515418,-0.0016877641137198521,-0.032831634086951535,80.4,116.3,-0.54,-5.299307365349634,2096.9823321554773,0.2404145077720207,-0.33230903790087485,0.10814685314685324
2004-07-01,-0.3984906064089302,0.1673654656403046,0.012978477092990532,-0.015840945274302153,67.4,102.7,-0.134,3.3004406245703564,2165.362190812721,0.2644559585492227,-0.3600014577259478,-0.3244405594405597
2004-08-01,0.04524921077896267,-0.03911113011662565,-0.011403142008564519,-0.037056800956918004,77.8,97.9,0.319,1.5685776280799644,2393.295053003534,0.336580310880829,-0.33230903790087374,-0.3244405594405593
2004-09-01,-0.17414463670516936,0.16427427307063172,-0.017924473085955486,-0.023331223336514908,114.1,83.8,0.596,-0.40276018648282275,2552.848056537104,1.2020725388601037,-0.30461661807580254,-0.25955244755244755
2004-10-01,0.00094831680885926,0.041820689856238616,-0.028445639985322856,-0.00010491895020729947,157.8,70.8,0.081,0.1336103098830108,2621.227915194346,1.1059067357512953,-0.2769241982507289,-0.2379230769230769
2004-11-01,0.013650482612293425,-0.052147804012088156,-0.03707015951001966,-0.04990998511512055,170.6,60.2,-0.067,0.4748842315686943,2689.60777385159,0.9856994818652848,-0.24923177842565591,-0.1946643356643354
2004-12-01,0.02401963051306093,-0.12285899446915588,-0.011926126478136642,-0.02381064869371856,194.0,42.6,0.086,0.6480392124869638,2507.2614840989404,0.8414507772020724,-0.13846209912536422,-0.12977622377622378
2005-01-01,-0.06213763256767706,0.10374816934515352,0.033447934067540125,-0.017930886121215114,207.1,32.2,0.45,-0.6541068130398742,1876.12632508834,0.9504404145077722,-0.06791690962099128,-0.02534265734265717
