Data,preco_soja_usd,petroleo_wti_usd,dxy_index,taxa_cambio_usd_brl,Precip_Brasil_Media_mm,Precip_EUA_Media_mm,ONI,cvol_proxy,imports_1000MT,Estoque_USA_MT,Estoque_Brasil_MT,Estoque_Argentina_MT
2000-01-01,508.0,27.64,105.13,1.784,207.1,32.2,0.0,86.00773621539287,877.5397526501769,0.5240673575129535,0.3707361516034985,0.3767832167832167
2000-02-01,501.25,30.43,105.92,1.768,196.6,37.0,0.199,85.91625894553621,842.4381625441697,0.4425457685664941,0.5190306122448978,0.4395804195804196
2000-03-01,545.5,26.9,105.44,1.7395,183.6,60.4,0.084,86.39051585077016,877.5397526501769,0.3726701208981002,0.8897667638483963,0.6279720279720281
2000-04-01,526.5,25.74,110.14,1.805,160.2,85.0,0.318,87.20678030098878,912.641342756184,0.314440414507772,1.2605029154518947,0.941958041958042
2000-05-01,517.5,29.01,108.74,1.824,106.3,109.5,0.832,86.4523396619518,994.5450530035336,0.2678566493955095,1.482944606413994,1.1931468531468532
2000-06-01,477.5,32.5,106.84,1.807,80.4,116.3,0.488,86.07513020462365,1076.4487632508835,0.2329188255613126,1.304991253644315,1.2559440559440562
2000-07-01,446.0,27.43,109.57,1.7835,67.4,102.7,0.248,87.08625877713988,1111.5503533568906,0.2562107081174439,1.1122084548104954,1.0675524475524478
2000-08-01,494.75,33.12,112.6,1.8235,77.8,97.9,0.805,87.05474123938313,1228.5556537102475,0.3260863557858377,0.9342551020408164,0.8791608391608392
2000-09-01,490.5,30.84,113.25,1.8435,114.1,83.8,0.871,86.22062901302809,1310.4593639575976,1.164594127806563,0.7711311953352769,0.7284475524475524
2000-10-01,459.75,32.7,116.65,1.9,157.8,70.8,0.422,86.47314664975785,1345.5609540636042,1.0714265975820385,0.6228367346938775,0.5902937062937064
2000-11-01,506.0,33.82,115.24,1.9795,170.6,60.2,0.512,85.93383889683287,1380.6625441696117,0.954967184801382,0.4893717201166179,0.4772587412587413
2000-12-01,499.5,26.8,109.56,1.95,194.0,42.6,0.173,85.66265533408061,1287.058303886926,0.8152158894645941,0.4152244897959183,0.4019020979020979
2001-01-01,459.5,28.66,110.52,1.971,207.1,32.2,-0.065,85.99528082795499,688.0521201413429,0.4401295336787566,0.4988338192419824,0.4729510489510489
2001-02-01,453.5,27.39,112.01,2.0463,196.6,37.0,0.051,84.73566005775805,660.5300353356891,0.37166493955095,0.6983673469387753,0.5517762237762238
2001-03-01,428.5,26.29,117.37,2.153,183.6,60.4,-0.729,84.23047243544548,688.0521201413429,0.3129810017271157,1.1972011661807578,0.7882517482517484
2001-04-01,434.25,28.46,115.85,2.201,160.2,85.0,-1.201,84.74708835590496,715.5742049469967,0.2640777202072539,1.69603498542274,1.1823776223776223
2001-05-01,451.0,28.37,119.07,2.381,106.3,109.5,-1.065,84.70731143583282,779.7924028268552,0.2249550949913644,1.9953352769679296,1.4976783216783216
2001-06-01,482.5,26.25,119.43,2.3105,80.4,116.3,-1.151,85.56543351598157,844.0106007067138,0.1956131260794474,1.7558950437317782,1.5765034965034967
2001-07-01,512.75,26.35,117.18,2.473,67.4,102.7,-0.68,85.18582557576796,871.5326855123676,0.215174438687392,1.4965014577259472,1.3400279720279722
2001-08-01,479.5,27.2,113.42,2.564,77.8,97.9,-0.839,84.66238433976497,963.27296819788,0.2738583765112263,1.2570612244897958,1.1035524475524476
2001-09-01,451.25,23.43,113.48,2.67,114.1,83.8,-1.152,86.30475055058508,1027.4911660777389,0.9780656303972366,1.0375743440233234,0.914372027972028
2001-10-01,428.5,21.18,114.86,2.696,157.8,70.8,-0.22,83.214686613862,1055.0132508833922,0.8998203799654578,0.8380408163265304,0.7409566433566434
2001-11-01,444.5,19.44,116.13,2.495,170.6,60.2,-0.245,83.00527631063139,1082.535335689046,0.8020138169257341,0.6584606413994167,0.5990713286713287
2001-12-01,421.0,19.84,116.75,2.311,194.0,42.6,-0.144,83.99546084469662,1009.1431095406364,0.6846459412780656,0.5586938775510204,0.5044811188811189
2002-01-01,430.25,19.48,120.24,2.413,207.1,32.2,-0.671,84.24334656754137,1418.9708480565373,0.3771761658031088,0.6600583090379009,0.5764195804195804
